Name	Version	Architecturet	Description
adduser	3.118ubuntu5	all	add and remove users and groups
adwaita-icon-theme	41.0-1ubuntu1	all	default icon theme of GNOME (small subset)
apt	2.4.8	amd64	commandline package manager
apt-utils	2.4.8	amd64	package management related utility programs
autoconf	2.71-2	all	automatic configure script builder
automake	1:1.16.5-1.3	all	Tool for generating GNU Standards-compliant Makefiles
autotools-dev	20220109.1	all	Update infrastructure for config.{guess,sub} files
base-files	12ubuntu4.2	amd64	Debian base system miscellaneous files
base-passwd	3.5.52build1	amd64	Debian base system master password and group files
bash	5.1-6ubuntu1	amd64	GNU Bourne Again SHell
bash-completion	1:2.11-5ubuntu1	all	programmable completion for the bash shell
biber	2.17-2	all	Much-augmented BibTeX replacement for BibLaTeX users
binutils	2.38-4ubuntu2.1	amd64	GNU assembler, linker and binary utilities
binutils-common:amd64	2.38-4ubuntu2.1	amd64	Common files for the GNU assembler, linker and binary utilities
binutils-x86-64-linux-gnu	2.38-4ubuntu2.1	amd64	GNU binary utilities, for x86-64-linux-gnu target
bsdutils	1:2.37.2-4ubuntu3	amd64	basic utilities from 4.4BSD-Lite
byacc	1:2.0.20220114-1	amd64	public domain Berkeley LALR Yacc parser generator
bzip2	1.0.8-5build1	amd64	high-quality block-sorting file compressor - utilities
ca-certificates	20211016ubuntu0.22.04.1	all	Common CA certificates
ca-certificates-java	20190909	all	Common CA certificates (JKS keystore)
cmake	3.22.1-1ubuntu1.22.04.1	amd64	cross-platform, open-source make system
cmake-data	3.22.1-1ubuntu1.22.04.1	all	CMake data files (modules, templates and documentation)
comerr-dev:amd64	2.1-1.46.5-2ubuntu1.1	amd64	common error description library - headers and static libraries
coreutils	8.32-4.1ubuntu1	amd64	GNU core utilities
cpp	4:11.2.0-1ubuntu1	amd64	GNU C preprocessor (cpp)
cpp-11	11.3.0-1ubuntu1~22.04	amd64	GNU C preprocessor
curl	7.81.0-1ubuntu1.6	amd64	command line tool for transferring data with URL syntax
dash	0.5.11+git20210903+057cd650a4ed-3build1	amd64	POSIX-compliant shell
debconf	1.5.79ubuntu1	all	Debian configuration management system
debianutils	5.5-1ubuntu2	amd64	Miscellaneous utilities specific to Debian
default-jdk	2:1.11-72build2	amd64	Standard Java or Java compatible Development Kit
default-jdk-headless	2:1.11-72build2	amd64	Standard Java or Java compatible Development Kit (headless)
default-jre	2:1.11-72build2	amd64	Standard Java or Java compatible Runtime
default-jre-headless	2:1.11-72build2	amd64	Standard Java or Java compatible Runtime (headless)
default-libmysqlclient-dev:amd64	1.0.8	amd64	MySQL database development files (metapackage)
dh-elpa-helper	2.0.9ubuntu1	all	helper package for emacs lisp extensions
diffutils	1:3.8-0ubuntu2	amd64	File comparison utilities
distro-info-data	0.52ubuntu0.2	all	information about the distributions' releases (data files)
dpkg	1.21.1ubuntu2.1	amd64	Debian package management system
dpkg-dev	1.21.1ubuntu2.1	all	Debian package development tools
e2fsprogs	1.46.5-2ubuntu1.1	amd64	ext2/ext3/ext4 file system utilities
emacsen-common	3.0.4	all	Common facilities for all emacsen
f2c	20200916-1	amd64	FORTRAN 77 to C/C++ translator
file	1:5.41-3	amd64	Recognize the type of data in a file using magic numbers
findutils	4.8.0-1ubuntu3	amd64	utilities for finding files--find, xargs
fontconfig	2.13.1-4.2ubuntu5	amd64	generic font configuration library - support binaries
fontconfig-config	2.13.1-4.2ubuntu5	all	generic font configuration library - configuration
fonts-texgyre	20180621-3.1	all	OpenType fonts based on URW Fonts
fort77	1.15-11.1	all	Invoke f2c like a real compiler
freeglut3:amd64	2.8.1-6	amd64	OpenGL Utility Toolkit
g++	4:11.2.0-1ubuntu1	amd64	GNU C++ compiler
g++-11	11.3.0-1ubuntu1~22.04	amd64	GNU C++ compiler
gcc	4:11.2.0-1ubuntu1	amd64	GNU C compiler
gcc-11	11.3.0-1ubuntu1~22.04	amd64	GNU C compiler
gcc-11-base:amd64	11.3.0-1ubuntu1~22.04	amd64	GCC, the GNU Compiler Collection (base package)
gcc-12-base:amd64	12.1.0-2ubuntu1~22.04	amd64	GCC, the GNU Compiler Collection (base package)
gdal-data	3.4.1+dfsg-1build4	all	Geospatial Data Abstraction Library - Data files
gdb	12.1-0ubuntu1~22.04	amd64	GNU Debugger
gfortran	4:11.2.0-1ubuntu1	amd64	GNU Fortran 95 compiler
gfortran-11	11.3.0-1ubuntu1~22.04	amd64	GNU Fortran compiler
ggobi	2.1.11-2build1	amd64	Data visualization system for high-dimensional data
gir1.2-atk-1.0:amd64	2.36.0-3build1	amd64	ATK accessibility toolkit (GObject introspection)
gir1.2-freedesktop:amd64	1.72.0-1	amd64	Introspection data for some FreeDesktop components
gir1.2-gdkpixbuf-2.0:amd64	2.42.8+dfsg-1ubuntu0.2	amd64	GDK Pixbuf library - GObject-Introspection
gir1.2-glib-2.0:amd64	1.72.0-1	amd64	Introspection data for GLib, GObject, Gio and GModule
gir1.2-gtk-2.0:amd64	2.24.33-2ubuntu2	amd64	GTK graphical user interface library -- gir bindings
gir1.2-harfbuzz-0.0:amd64	2.7.4-1ubuntu3.1	amd64	OpenType text shaping engine (GObject introspection data)
gir1.2-pango-1.0:amd64	1.50.6+ds-2	amd64	Layout and rendering of internationalized text - gir bindings
gir1.2-rsvg-2.0:amd64	2.52.5+dfsg-3	amd64	gir files for renderer library for SVG files
git	1:2.34.1-1ubuntu1.5	amd64	fast, scalable, distributed revision control system
git-man	1:2.34.1-1ubuntu1.5	all	fast, scalable, distributed revision control system (manual pages)
gpgv	2.2.27-3ubuntu2.1	amd64	GNU privacy guard - signature verification tool
graphviz	2.42.2-6	amd64	rich set of graph drawing tools
grep	3.7-1build1	amd64	GNU grep, egrep and fgrep
gsfonts	1:8.11+urwcyr1.0.7~pre44-4.5	all	Fonts for the Ghostscript interpreter(s)
gtk-update-icon-cache	3.24.33-1ubuntu2	amd64	icon theme caching utility
gzip	1.10-4ubuntu4.1	amd64	GNU compression utilities
hdf5-helpers	1.10.7+repack-4ubuntu2	amd64	HDF5 - Helper tools
hicolor-icon-theme	0.17-2	all	default fallback theme for FreeDesktop.org icon themes
hostname	3.23ubuntu2	amd64	utility to set/show the host name or domain name
humanity-icon-theme	0.6.16	all	Humanity Icon theme
ibverbs-providers:amd64	39.0-1	amd64	User space provider drivers for libibverbs
icu-devtools	70.1-2	amd64	Development utilities for International Components for Unicode
imagemagick	8:6.9.11.60+dfsg-1.3build2	amd64	image manipulation programs -- binaries
imagemagick-6-common	8:6.9.11.60+dfsg-1.3build2	all	image manipulation programs -- infrastructure
imagemagick-6.q16	8:6.9.11.60+dfsg-1.3build2	amd64	image manipulation programs -- quantum depth Q16
init-system-helpers	1.62	all	helper tools for all init systems
jags	4.3.0-3build1	amd64	Just Another Gibbs Sampler for Bayesian MCMC - binary
java-common	0.72build2	all	Base package for Java runtimes
krb5-multidev:amd64	1.19.2-2	amd64	development files for MIT Kerberos without Heimdal conflict
lib32gcc-s1	12.1.0-2ubuntu1~22.04	amd64	GCC support library (32 bit Version)
lib32stdc++6	12.1.0-2ubuntu1~22.04	amd64	GNU Standard C++ Library v3 (32 bit Version)
libacl1:amd64	2.3.1-1	amd64	access control list - shared library
libaec-dev:amd64	1.0.6-1	amd64	Development files for the Adaptive Entropy Coding library
libaec0:amd64	1.0.6-1	amd64	Adaptive Entropy Coding library
libalgorithm-c3-perl	0.11-1	all	Perl module for merging hierarchies using the C3 algorithm
libamd2:amd64	1:5.10.1+dfsg-4build1	amd64	approximate minimum degree ordering library for sparse matrices
libann0	1.1.2+doc-7build1	amd64	Approximate Nearest Neighbor Searching library
libaom-dev:amd64	3.3.0-1	amd64	AV1 Video Codec Library -- Development Files
libaom3:amd64	3.3.0-1	amd64	AV1 Video Codec Library
libapparmor-dev:amd64	3.0.4-2ubuntu2.1	amd64	AppArmor development libraries and header files
libapparmor1:amd64	3.0.4-2ubuntu2.1	amd64	changehat AppArmor library
libapt-pkg6.0:amd64	2.4.8	amd64	package management runtime library
libarchive-dev:amd64	3.6.0-1ubuntu1	amd64	Multi-format archive and compression library (development files)
libarchive-extract-perl	0.88-1	all	generic archive extracting module
libarchive13:amd64	3.6.0-1ubuntu1	amd64	Multi-format archive and compression library (shared library)
libarmadillo-dev	1:10.8.2+dfsg-1	amd64	streamlined C++ linear algebra library - Headers
libarmadillo10	1:10.8.2+dfsg-1	amd64	streamlined C++ linear algebra library
libarpack2:amd64	3.8.0-1	amd64	Fortran77 subroutines to solve large scale eigenvalue problems
libarpack2-dev:amd64	3.8.0-1	amd64	Fortran77 subroutines to solve large scale eigenvalue problems (development)
libasan6:amd64	11.3.0-1ubuntu1~22.04	amd64	AddressSanitizer -- a fast memory error detector
libasound2:amd64	1.2.6.1-1ubuntu1	amd64	shared library for ALSA applications
libasound2-data	1.2.6.1-1ubuntu1	all	Configuration files and profiles for ALSA drivers
libass9:amd64	1:0.15.2-1	amd64	library for SSA/ASS subtitles rendering
libasyncns0:amd64	0.8-6build2	amd64	Asynchronous name service query library
libatk1.0-0:amd64	2.36.0-3build1	amd64	ATK accessibility toolkit
libatk1.0-data	2.36.0-3build1	all	Common files for the ATK accessibility toolkit
libatk1.0-dev:amd64	2.36.0-3build1	amd64	Development files for the ATK accessibility toolkit
libatkmm-1.6-1v5:amd64	2.28.2-1build1	amd64	C++ wrappers for ATK accessibility toolkit (shared libraries)
libatkmm-1.6-dev:amd64	2.28.2-1build1	amd64	C++ wrappers for ATK accessibility toolkit (development files)
libatlas-base-dev:amd64	3.10.3-12ubuntu1	amd64	Automatically Tuned Linear Algebra Software, generic static
libatlas3-base:amd64	3.10.3-12ubuntu1	amd64	Automatically Tuned Linear Algebra Software, generic shared
libatomic1:amd64	12.1.0-2ubuntu1~22.04	amd64	support library providing __atomic built-in functions
libattr1:amd64	1:2.5.1-1build1	amd64	extended attribute handling - shared library
libaudit-common	1:3.0.7-1build1	all	Dynamic library for security auditing - common files
libaudit1:amd64	1:3.0.7-1build1	amd64	Dynamic library for security auditing
libautovivification-perl	0.18-1build4	amd64	pragma for lexically disabling autovivification
libavahi-client3:amd64	0.8-5ubuntu5	amd64	Avahi client library
libavahi-common-data:amd64	0.8-5ubuntu5	amd64	Avahi common data files
libavahi-common3:amd64	0.8-5ubuntu5	amd64	Avahi common library
libavcodec-dev:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64	FFmpeg library with de/encoders for audio/video codecs - development files
libavcodec58:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64	FFmpeg library with de/encoders for audio/video codecs - runtime files
libavfilter-dev:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64	FFmpeg library containing media filters - development files
libavfilter7:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64	FFmpeg library containing media filters - runtime files
libavformat-dev:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64	FFmpeg library with (de)muxers for multimedia containers - development files
libavformat58:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64	FFmpeg library with (de)muxers for multimedia containers - runtime files
libavutil-dev:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64	FFmpeg library with functions for simplifying programming - development files
libavutil56:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64	FFmpeg library with functions for simplifying programming - runtime files
libb-hooks-endofscope-perl	0.25-1	all	module for executing code after a scope finished compilation
libb-hooks-op-check-perl	0.22-1build5	amd64	Perl wrapper for OP check callbacks
libbabeltrace1:amd64	1.5.8-2build1	amd64	Babeltrace conversion libraries
libbinutils:amd64	2.38-4ubuntu2.1	amd64	GNU binary utilities (private shared library)
libblas-dev:amd64	3.10.0-2ubuntu1	amd64	Basic Linear Algebra Subroutines 3, static library
libblas3:amd64	3.10.0-2ubuntu1	amd64	Basic Linear Algebra Reference implementations, shared library
libblkid-dev:amd64	2.37.2-4ubuntu3	amd64	block device ID library - headers
libblkid1:amd64	2.37.2-4ubuntu3	amd64	block device ID library
libblosc-dev	1.21.1+ds2-2	amd64	high performance meta-compressor optimized for binary data (development files)
libblosc1:amd64	1.21.1+ds2-2	amd64	high performance meta-compressor optimized for binary data
libbluray2:amd64	1:1.3.1-1	amd64	Blu-ray disc playback support library (shared library)
libboost-dev:amd64	1.74.0.3ubuntu7	amd64	Boost C++ Libraries development files (default version)
libboost-iostreams1.74.0:amd64	1.74.0-14ubuntu3	amd64	Boost.Iostreams Library
libboost-regex1.74.0:amd64	1.74.0-14ubuntu3	amd64	regular expression library for C++
libboost1.74-dev:amd64	1.74.0-14ubuntu3	amd64	Boost C++ Libraries development files
libbrotli-dev:amd64	1.0.9-2build6	amd64	library implementing brotli encoder and decoder (development files)
libbrotli1:amd64	1.0.9-2build6	amd64	library implementing brotli encoder and decoder (shared libraries)
libbs2b0:amd64	3.1.0+dfsg-2.2build1	amd64	Bauer stereophonic-to-binaural DSP library
libbsd-dev:amd64	0.11.5-1	amd64	utility functions from BSD systems - development files
libbsd0:amd64	0.11.5-1	amd64	utility functions from BSD systems - shared library
libbtf1:amd64	1:5.10.1+dfsg-4build1	amd64	permutation to block triangular form library for sparse matrices
libbtparse2	0.88-3build3	amd64	C library to parse BibTeX files
libbusiness-isbn-data-perl	20210112.006-1	all	data pack for Business::ISBN
libbusiness-isbn-perl	3.006-1	all	Perl library to work with International Standard Book Numbers
libbusiness-ismn-perl	1.202-1	all	module for International Standard Music Numbers
libbusiness-issn-perl	1.005-1	all	Perl extension for International Standard Serial Numbers (ISSN)
libbz2-1.0:amd64	1.0.8-5build1	amd64	high-quality block-sorting file compressor library - runtime
libbz2-dev:amd64	1.0.8-5build1	amd64	high-quality block-sorting file compressor library - development
libbz2-ocaml	0.7.0-1build1	amd64	OCaml bindings for the bzip2 compression library (runtime)
libc-ares2:amd64	1.18.1-1build1	amd64	asynchronous name resolver
libc-bin	2.35-0ubuntu3.1	amd64	GNU C Library: Binaries
libc-dev-bin	2.35-0ubuntu3.1	amd64	GNU C Library: Development binaries
libc6:amd64	2.35-0ubuntu3.1	amd64	GNU C Library: Shared libraries
libc6-dev:amd64	2.35-0ubuntu3.1	amd64	GNU C Library: Development Libraries and Header Files
libc6-i386	2.35-0ubuntu3.1	amd64	GNU C Library: 32-bit shared libraries for AMD64
libcairo-gobject2:amd64	1.16.0-5ubuntu2	amd64	Cairo 2D vector graphics library (GObject library)
libcairo-script-interpreter2:amd64	1.16.0-5ubuntu2	amd64	Cairo 2D vector graphics library (script interpreter)
libcairo2:amd64	1.16.0-5ubuntu2	amd64	Cairo 2D vector graphics library
libcairo2-dev:amd64	1.16.0-5ubuntu2	amd64	Development files for the Cairo 2D graphics library
libcairomm-1.0-1v5:amd64	1.12.2-4build3	amd64	C++ wrappers for Cairo (shared libraries)
libcairomm-1.0-dev:amd64	1.12.2-4build3	amd64	C++ wrappers for Cairo (development files)
libcamd2:amd64	1:5.10.1+dfsg-4build1	amd64	symmetric approximate minimum degree library for sparse matrices
libcap-ng0:amd64	0.7.9-2.2build3	amd64	An alternate POSIX capabilities library
libcap2:amd64	1:2.44-1build3	amd64	POSIX 1003.1e capabilities (library)
libcbor0.8:amd64	0.8.0-2ubuntu1	amd64	library for parsing and generating CBOR (RFC 7049)
libcc1-0:amd64	12.1.0-2ubuntu1~22.04	amd64	GCC cc1 plugin for GDB
libccolamd2:amd64	1:5.10.1+dfsg-4build1	amd64	constrained column approximate library for sparse matrices
libcdt5:amd64	2.42.2-6	amd64	rich set of graph drawing tools - cdt library
libcfitsio-dev:amd64	4.0.0-1	amd64	library for I/O with FITS format data files (development files)
libcfitsio9:amd64	4.0.0-1	amd64	shared library for I/O with FITS format data files
libcgi-pm-perl	4.54-1	all	module for Common Gateway Interface applications
libcgraph6:amd64	2.42.2-6	amd64	rich set of graph drawing tools - cgraph library
libcharls-dev:amd64	2.3.4-1	amd64	Implementation of the JPEG-LS standard (development libraries)
libcharls2:amd64	2.3.4-1	amd64	Implementation of the JPEG-LS standard
libcholmod3:amd64	1:5.10.1+dfsg-4build1	amd64	sparse Cholesky factorization library for sparse matrices
libchromaprint1:amd64	1.5.1-2	amd64	audio fingerprint library
libclang-14-dev	1:14.0.0-1ubuntu1	amd64	Clang library - Development package
libclang-common-14-dev	1:14.0.0-1ubuntu1	amd64	Clang library - Common development package
libclang-dev	1:14.0-55~exp2	amd64	clang library - Development package
libclang1-14	1:14.0.0-1ubuntu1	amd64	C interface to the Clang library
libclass-accessor-perl	0.51-1	all	Perl module that automatically generates accessors
libclass-c3-perl	0.35-1	all	pragma for using the C3 method resolution order
libclass-data-inheritable-perl	0.08-3	all	Perl module to create accessors to class data
libclass-inspector-perl	1.36-1	all	Perl module that provides information about classes
libclass-method-modifiers-perl	2.13-1	all	Perl module providing method modifiers
libclass-singleton-perl	1.6-1	all	implementation of a Singleton class
libclone-perl	0.45-1build3	amd64	module for recursively copying Perl datatypes
libcodec2-1.0:amd64	1.0.1-3	amd64	Codec2 runtime library
libcolamd2:amd64	1:5.10.1+dfsg-4build1	amd64	column approximate minimum degree ordering library for sparse matrices
libcom-err2:amd64	1.46.5-2ubuntu1.1	amd64	common error description library
libcrypt-dev:amd64	1:4.4.27-1	amd64	libcrypt development files
libcrypt1:amd64	1:4.4.27-1	amd64	libcrypt shared library
libctf-nobfd0:amd64	2.38-4ubuntu2.1	amd64	Compact C Type Format library (runtime, no BFD dependency)
libctf0:amd64	2.38-4ubuntu2.1	amd64	Compact C Type Format library (runtime, BFD dependency)
libcups2:amd64	2.4.1op1-1ubuntu4.1	amd64	Common UNIX Printing System(tm) - Core library
libcurl3-gnutls:amd64	7.81.0-1ubuntu1.6	amd64	easy-to-use client-side URL transfer library (GnuTLS flavour)
libcurl4:amd64	7.81.0-1ubuntu1.6	amd64	easy-to-use client-side URL transfer library (OpenSSL flavour)
libcurl4-gnutls-dev:amd64	7.81.0-1ubuntu1.6	amd64	development files and documentation for libcurl (GnuTLS flavour)
libcxsparse3:amd64	1:5.10.1+dfsg-4build1	amd64	concise sparse matrix library
libdata-compare-perl	1.27-1	all	perl module to compare perl data structures recursively
libdata-dump-perl	1.25-1	all	Perl module to help dump data structures
libdata-optlist-perl	0.112-1	all	module to parse and validate simple name/value option pairs
libdata-uniqid-perl	0.12-1.1	all	Perl extension for simple genrating of unique id's
libdate-simple-perl	3.0300-3build2	amd64	simple date object for Perl
libdatetime-calendar-julian-perl	0.107-1	all	Julian calendar complement for DateTime
libdatetime-format-builder-perl	0.8300-1	all	module to create DateTime parsers
libdatetime-format-strptime-perl	1.7900-1	all	Perl module to parse and format strp and strf time patterns
libdatetime-locale-perl	1:1.33-1	all	Perl extension providing localization support for DateTime
libdatetime-perl:amd64	2:1.55-1build1	amd64	module for manipulating dates, times and timestamps
libdatetime-timezone-perl	1:2.51-1+2021e	all	framework exposing the Olson time zone database to Perl
libdatrie-dev:amd64	0.2.13-2	amd64	Development files for double-array trie library
libdatrie1:amd64	0.2.13-2	amd64	Double-array trie library
libdav1d-dev:amd64	0.9.2-1	amd64	fast and small AV1 video stream decoder (development files)
libdav1d5:amd64	0.9.2-1	amd64	fast and small AV1 video stream decoder (shared library)
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3	amd64	Berkeley v5.3 Database Libraries [runtime]
libdbd-mysql-perl:amd64	4.050-5	amd64	Perl5 database interface to the MariaDB/MySQL database
libdbi-perl:amd64	1.643-3build3	amd64	Perl Database Interface (DBI)
libdbus-1-3:amd64	1.12.20-2ubuntu4.1	amd64	simple interprocess messaging system (library)
libde265-0:amd64	1.0.8-1	amd64	Open H.265 video codec implementation
libde265-dev:amd64	1.0.8-1	amd64	Open H.265 video codec implementation - development files
libdebconfclient0:amd64	0.261ubuntu1	amd64	Debian Configuration Management System (C-implementation library)
libdebuginfod-common	0.186-1build1	all	configuration to enable the Debian debug info server
libdebuginfod1:amd64	0.186-1build1	amd64	library to interact with debuginfod (development files)
libdeflate-dev:amd64	1.10-2	amd64	headers for whole-buffer compression and decompression library
libdeflate0:amd64	1.10-2	amd64	fast, whole-buffer DEFLATE-based compression and decompression
libdevel-callchecker-perl	0.008-1ubuntu4	amd64	custom op checking attached to subroutines
libdevel-stacktrace-perl	2.0400-1	all	Perl module containing stack trace and related objects
libdjvulibre-dev:amd64	3.5.28-2build2	amd64	Development files for the DjVu image format
libdjvulibre-text	3.5.28-2build2	all	Linguistic support files for libdjvulibre
libdjvulibre21:amd64	3.5.28-2build2	amd64	Runtime support for the DjVu image format
libdpkg-perl	1.21.1ubuntu2.1	all	Dpkg perl modules
libdrm-amdgpu1:amd64	2.4.110-1ubuntu1	amd64	Userspace interface to amdgpu-specific kernel DRM services -- runtime
libdrm-common	2.4.110-1ubuntu1	all	Userspace interface to kernel DRM services -- common files
libdrm-nouveau2:amd64	2.4.110-1ubuntu1	amd64	Userspace interface to nouveau-specific kernel DRM services -- runtime
libdrm-radeon1:amd64	2.4.110-1ubuntu1	amd64	Userspace interface to radeon-specific kernel DRM services -- runtime
libdrm2:amd64	2.4.110-1ubuntu1	amd64	Userspace interface to kernel DRM services -- runtime
libdw1:amd64	0.186-1build1	amd64	library that provides access to the DWARF debug information
libdynaloader-functions-perl	0.003-1.1	all	deconstructed dynamic C library loading
libedit2:amd64	3.1-20210910-1build1	amd64	BSD editline and history libraries
libegl-dev:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- EGL development files
libegl-mesa0:amd64	22.0.5-0ubuntu0.1	amd64	free implementation of the EGL API -- Mesa vendor library
libegl1:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- EGL support
libeigen3-dev	3.4.0-2ubuntu2	all	lightweight C++ template library for linear algebra
libelf1:amd64	0.186-1build1	amd64	library to read and write ELF files
libencode-eucjpms-perl	0.07-3build9	amd64	Perl library for Microsoft Compatible Japanese Encodings
libencode-hanextra-perl	0.23-5build4	amd64	perl module providing extra sets of Chinese character encodings
libencode-jis2k-perl	0.03-1build7	amd64	perl module providing JIS X 0212 (aka JIS 2000) Encodings
libencode-locale-perl	1.05-1.1	all	utility to determine the locale encoding
